name,qid,filename,file_page,author,license,source,image_url,_saved_path
Ibrahima Konaté,Q30301454,Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 15 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 15 (cropped).jpg,"crop by <a href=""//commons.wikimedia.org/w/index.php?title=User:Wenflou&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Wenflou (page does not exist)"">Wenflou</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Liverpool%20FC%20gegen%201.%20FSV%20Mainz%2005%20%28Testspiel%2023.%20Juli%202021%29%2015%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 15 (cropped).jpg
Milos Kerkez,Q110874376,Milot Kerkez (cropped).png,https://commons.wikimedia.org/wiki/File:Milot Kerkez (cropped).png,AFC Bournemouth,CC BY 3.0 (https://creativecommons.org/licenses/by/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Milot%20Kerkez%20%28cropped%29.png?width=800,/Users/mzahariev/footballspinner/public/players/Milot Kerkez (cropped).png
Florian Wirtz,Q94699949,"Florian Wirtz, 2022-07-31, Saisoneröffnung Bayer 04, Leverkusen (1) (cropped).jpg","https://commons.wikimedia.org/wiki/File:Florian Wirtz, 2022-07-31, Saisoneröffnung Bayer 04, Leverkusen (1) (cropped).jpg","<a href=""//commons.wikimedia.org/w/index.php?title=User:Pyaet&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Pyaet (page does not exist)"">Pyaet</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Florian%20Wirtz%2C%202022-07-31%2C%20Saisoner%C3%B6ffnung%20Bayer%2004%2C%20Leverkusen%20%281%29%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Florian Wirtz 2022-07-31 Saisoneröffnung Bayer 04 Leverkusen (1) (cropped).jpg
Dominik Szoboszlai,Q30134278,Dominik Szoboszlai in 2020.jpg,https://commons.wikimedia.org/wiki/File:Dominik Szoboszlai in 2020.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Werner100359"" title=""User:Werner100359"">Werner100359</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Dominik%20Szoboszlai%20in%202020.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Dominik Szoboszlai in 2020.jpg
Alexander Isak,Q23759917,UEFA EURO qualifiers Sweden vs Spain 20191015 Alexander Isak 56 (cropped).jpg,https://commons.wikimedia.org/wiki/File:UEFA EURO qualifiers Sweden vs Spain 20191015 Alexander Isak 56 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Rolandhino1"" title=""User:Rolandhino1"">Rolandhino1</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/UEFA%20EURO%20qualifiers%20Sweden%20vs%20Spain%2020191015%20Alexander%20Isak%2056%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/UEFA EURO qualifiers Sweden vs Spain 20191015 Alexander Isak 56 (cropped).jpg
Tommy Pilling,Q115879200,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
James Trafford,Q107985608,Queen Park Rangers v Burnley 26042025 (25) (James Trafford).jpg,https://commons.wikimedia.org/wiki/File:Queen Park Rangers v Burnley 26042025 (25) (James Trafford).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Timmy96"" title=""User:Timmy96"">Timmy96</a>",CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Park%20Rangers%20v%20Burnley%2026042025%20%2825%29%20%28James%20Trafford%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Queen Park Rangers v Burnley 26042025 (25) (James Trafford).jpg
Rayan Cherki,Q64736321,Cherki asse ol 2425.png,https://commons.wikimedia.org/wiki/File:Cherki asse ol 2425.png,"<a href=""//commons.wikimedia.org/wiki/User:Pat%C3%A9_kroute"" title=""User:Paté kroute"">Paté kroute</a>",CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/Cherki%20asse%20ol%202425.png?width=800,/Users/mzahariev/footballspinner/public/players/Cherki asse ol 2425.png
Jérémy Doku,Q59209505,"2023-10-04 Fußball, Männer, UEFA Champions League, RB Leipzig - Manchester City FC 1DX 2767 (Jérémy Doku).jpg","https://commons.wikimedia.org/wiki/File:2023-10-04 Fußball, Männer, UEFA Champions League, RB Leipzig - Manchester City FC 1DX 2767 (Jérémy Doku).jpg","<a href=""//commons.wikimedia.org/wiki/User:Stepro"" title=""User:Stepro"">Steffen Prößdorf</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/2023-10-04%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%2C%20RB%20Leipzig%20-%20Manchester%20City%20FC%201DX%202767%20%28J%C3%A9r%C3%A9my%20Doku%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/2023-10-04 Fußball Männer UEFA Champions League RB Leipzig - Manchester City FC 1DX 2767 (Jérémy Doku).jpg
Marcus Bettinelli,Q16200385,Marcus Bettinelli 12-04-2014 1.jpg,https://commons.wikimedia.org/wiki/File:Marcus Bettinelli 12-04-2014 1.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Mattythewhite"" title=""User:Mattythewhite"">Mattythewhite</a>",CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Marcus%20Bettinelli%2012-04-2014%201.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Marcus Bettinelli 12-04-2014 1.jpg
